"ID","Threat","Hash","Vhash","Time","Signature","Commentary"
"0","APT19","ed4043b9a410016fb57c57cefb8bda4eeef1b222194fd68eb17650e353a4eea4","125066655d155555129z87fz39za00176z1","2017-05-22 21:21:47","4d 5a 41 52 55 48 89 e5 48 81 ec 20 00 00 00 48 8d 1d ea ff ff ff 48 81 c3 1c 60 01 00 ff d3 48 89 c3 49 89 f8 68 04 00 00 00 5a ff d0 41 b8 f0 b5 a2 56 68 05 00 00 00 5a ff d3 00 08 01 00 00 0e 1f ba 0e 00 b4 09 cd 21 b8 01","Variant use EICAR string as fake alert + ReflectiveLoader"
"0","APT19","88c7058e0190a72f01c3371b8b893d7b08d25fa6c35521c0440d959be4e0d574","125066655d155555129z87fz39za00176z1","2017-05-22 21:21:47","4d 5a 41 52 55 48 89 e5 48 81 ec 20 00 00 00 48 8d 1d ea ff ff ff 48 81 c3 1c 60 01 00 ff d3 48 89 c3 49 89 f8 68 04 00 00 00 5a ff d0 41 b8 f0 b5 a2 56 68 05 00 00 00 5a ff d3 00 08 01 00 00 0e 1f ba 0e 00 b4 09 cd 21 b8 01","matching to rule -> https://github.com/Neo23x0/signature-base/blob/master/yara/apt_apt19.yar -> Reflectiveloader"
"1","APT19","399a07f32a3d29c3feac66fe71fc6694d456f8de4894f92743f4e9031500b9e9","125066655d155555129z76fz39za00176z1","2016-07-28 20:17:37","4d 5a 41 52 55 48 89 e5 48 81 ec 20 00 00 00 48 8d 1d ea ff ff ff 48 81 c3 40 4a 01 00 ff d3 48 89 c3 49 89 f8 68 04 00 00 00 5a ff d0 41 b8 f0 b5 a2 56 68 05 00 00 00 5a ff d3 00 f0 00 00 00 0e 1f ba 0e 00 b4 09 cd 21 b8 01","matching to rule -> https://github.com/Neo23x0/signature-base/blob/master/yara/apt_apt19.yar -> Reflectiveloader"
"2","APT19","f286f5e10d39dbbfec1aa1667912d63d31f88f787f9a1cb7a87b9e88fdb1209a","125056655d15551.z1","2016-11-11 04:08:32","4d 5a 41 52 55 48 89 e5 48 81 ec 20 00 00 00 48 8d 1d ea ff ff ff 48 89 df 48 81 c3 3c 6e 01 00 ff d3 41 b8 f0 b5 a2 56 68 04 00 00 00 5a 48 89 f9 ff d0 00 00 00 00 00 00 00 00 00 f0 00 00 00 5c 55 0c 75 63 ef 98 0b 7f c4 5c","Variant pivot, ordinal way -> execute"
"3","APT19","d6dc1b71a7358107087235a29eff5a195f52d1f482f017135024227fe7278bb1","125056655d15551258z88fz39za00176z1","2018-09-05 21:54:00","4d 5a 41 52 55 48 89 e5 48 81 ec 20 00 00 00 48 8d 1d ea ff ff ff 48 89 df 48 81 c3 40 64 01 00 ff d3 41 b8 f0 b5 a2 56 68 04 00 00 00 5a 48 89 f9 ff d0 00 00 00 00 00 00 00 00 00 f8 00 00 00 0e 1f ba 0e 00 b4 09 cd 21 b8 01","matching to rule -> https://github.com/Neo23x0/signature-base/blob/master/yara/apt_apt19.yar -> Reflectiveloader"
"4","APT19","cfc7b6a8ad0959f4ea3f6b6f09492ea93961938008b61279567f1bddf1a7bc06","125056655d15551158z8drza00166z1","2020-06-23 19:21:26","4d 5a 41 52 55 48 89 e5 48 81 ec 20 00 00 00 48 8d 1d ea ff ff ff 48 89 df 48 81 c3 d8 5f 01 00 ff d3 41 b8 f0 b5 a2 56 68 04 00 00 00 5a 48 89 f9 ff d0 00 00 00 00 00 00 00 00 00 f0 00 00 00 0e 1f ba 0e 00 b4 09 cd 21 b8 01","Different formating and technics, code reuse, use the stackfor the strings"
"5","APT19","2f8e39e97dfd31bb434618acab9be13ca142f8ed5d84b6b1eec2ad51e0708d52","125056655d1555129z8frza00166z1","2019-12-05 12:01:49","4d 5a 41 52 55 48 89 e5 48 81 ec 20 00 00 00 48 8d 1d ea ff ff ff 48 89 df 48 81 c3 f4 63 01 00 ff d3 41 b8 f0 b5 a2 56 68 04 00 00 00 5a 48 89 f9 ff d0 00 00 00 00 00 00 00 00 00 f8 00 00 00 0e 1f ba 0e 00 b4 09 cd 21 b8 01","matching to rule -> https://github.com/Neo23x0/signature-base/blob/master/yara/apt_apt19.yar -> Reflectiveloader"
"5","APT19","f625ac3b2c790e92810a05823a5ea8ce4c9741278a377c3f7e69b65a33affa04","125056655d1555129z8frza00166z1","2019-12-05 12:01:49","4d 5a 41 52 55 48 89 e5 48 81 ec 20 00 00 00 48 8d 1d ea ff ff ff 48 89 df 48 81 c3 f4 63 01 00 ff d3 41 b8 f0 b5 a2 56 68 04 00 00 00 5a 48 89 f9 ff d0 00 00 00 00 00 00 00 00 00 f8 00 00 00 0e 1f ba 0e 00 b4 09 cd 21 b8 01","matching to rule -> https://github.com/Neo23x0/signature-base/blob/master/yara/apt_apt19.yar -> Reflectiveloader"
"5","APT19","d03f975148e13019971f60857322ce49b923ae0cabd477cd282b97fdf3f906a3","125056655d1555129z8frza00166z1","2019-12-05 12:01:49","4d 5a 41 52 55 48 89 e5 48 81 ec 20 00 00 00 48 8d 1d ea ff ff ff 48 89 df 48 81 c3 f4 63 01 00 ff d3 41 b8 f0 b5 a2 56 68 04 00 00 00 5a 48 89 f9 ff d0 00 00 00 00 00 00 00 00 00 f8 00 00 00 0e 1f ba 0e 00 b4 09 cd 21 b8 01","matching to rule -> https://github.com/Neo23x0/signature-base/blob/master/yara/apt_apt19.yar -> Reflectiveloader"
"5","APT19","5f133e7b1c41a09fe9c41f841b2a4bdbc9046c21c731391811cbfbc7508cc28a","125056655d1555129z8frza00166z1","2019-12-05 12:01:49","4d 5a 41 52 55 48 89 e5 48 81 ec 20 00 00 00 48 8d 1d ea ff ff ff 48 89 df 48 81 c3 f4 63 01 00 ff d3 41 b8 f0 b5 a2 56 68 04 00 00 00 5a 48 89 f9 ff d0 00 00 00 00 00 00 00 00 00 f8 00 00 00 0e 1f ba 0e 00 b4 09 cd 21 b8 01","matching to rule -> https://github.com/Neo23x0/signature-base/blob/master/yara/apt_apt19.yar -> Reflectiveloader"
